source_user,source,target,target_user
ONU Mujeres Ecuador,1465787970414419976,2407694894,BuddiLi
Ministerio del Deporte Ecuador,1465777282207866887,1041449741807218688,fenuso1
ONU Mujeres Ecuador,1465776423491321868,180801127,catheat24
ONU Mujeres Ecuador,1465776423491321868,821739076722237442,samanescuatro
Aldeas SOS Ecuador,1465770891682398215,308481591,lau_muriel
Aldeas SOS Ecuador,1465770891682398215,2452118461,GeLo_PinargP
@SDH_Zona7,1465770547120427015,1011574878066106368,Villat3
@SDH_Zona7,1465770547120427015,1011372943530713088,DDHH_Zona5
@SDH_Zona7,1465770547120427015,1245102659524333568,PamelaValarezo
@SDH_Zona7,1465770547120427015,932688325231759360,Ma_AliciaPerez
@SDH_Zona7,1465770547120427015,274022834,SophieCuevaM
@SDH_Zona7,1465770547120427015,357221419,maria_macris
@SDH_Zona7,1465770547120427015,1245064866681012227,petegalarza
@SDH_Zona7,1465770016331251715,1011372943530713088,DDHH_Zona5
@SDH_Zona7,1465770016331251715,1245102659524333568,PamelaValarezo
@SDH_Zona7,1465770016331251715,170069351,DDHH_Ec
@SDH_Zona7,1465770016331251715,4017208883,PauletteZamora9
@SDH_Zona7,1465770016331251715,932688325231759360,Ma_AliciaPerez
@SDH_Zona7,1465770016331251715,274022834,SophieCuevaM
@SDH_Zona7,1465770016331251715,1245064866681012227,petegalarza
@SDH_Zona7,1465770016331251715,357221419,maria_macris
@SDH_Zona7,1465769619902324739,1011574878066106368,Villat3
@SDH_Zona7,1465769619902324739,1011372943530713088,DDHH_Zona5
@SDH_Zona7,1465769619902324739,1245102659524333568,PamelaValarezo
@SDH_Zona7,1465769619902324739,170069351,DDHH_Ec
@SDH_Zona7,1465769619902324739,4017208883,PauletteZamora9
@SDH_Zona7,1465769619902324739,932688325231759360,Ma_AliciaPerez
@SDH_Zona7,1465769619902324739,274022834,SophieCuevaM
@SDH_Zona7,1465769619902324739,1245064866681012227,petegalarza
@SDH_Zona7,1465769619902324739,357221419,maria_macris
Sec. Infraestructura,1465756089966903305,269927389,JuanP931
Sec. Infraestructura,1465756089966903305,145774770,GobAntioquia
Bernarda Ordóñez Moscoso,1465752201872265221,1293564827902840833,claudiabalsecaO
Bernarda Ordóñez Moscoso,1465752201872265221,2544207856,espinozatorresc
Bernarda Ordóñez Moscoso,1465752201872265221,274022834,SophieCuevaM
Bernarda Ordóñez Moscoso,1465752201872265221,170069351,DDHH_Ec
Bernarda Ordóñez Moscoso,1465752201872265221,720646380805615616,GraceJimenezR
Bernarda Ordóñez Moscoso,1465752201872265221,1406079044446265344,lolymonge1958
Bernarda Ordóñez Moscoso,1465752201872265221,169556156,JuliusEC
Bernarda Ordóñez Moscoso,1465752201872265221,377083657,FeliOchoaM
DEMUS,1465740242036666369,121827682,Mango_The_Sheep
DEMUS,1465740242036666369,3045259134,dml993645512
DEMUS,1465740242036666369,123402378,SofiaCarrilloZ
DEMUS,1465740242036666369,68487390,cnddhh
ONAMIAP,1465739345252519947,1262904668931403776,Mirtha74555343
Diversxs 🏳️‍🌈,1465736624327827465,733860831910232064,AseArroChile
Leonardo Orlando A.,1465732607417618433,1086124581377724416,KellyBuenavent3
Leonardo Orlando A.,1465732607417618433,144181006,AcunaOliver
Leonardo Orlando A.,1465732607417618433,1423341491364237315,VielkaParragaM
Leonardo Orlando A.,1465732607417618433,264289549,migmo7814
Leonardo Orlando A.,1465732607417618433,138471406,MG_MOLINAM
Leonardo Orlando A.,1465732607417618433,229313048,cielomendoza
Leonardo Orlando A.,1465732607417618433,140860037,guillorojo
Oxfam en español,1465730628465397760,39913422,airismartinez
Oxfam en español,1465730628465397760,2178153660,OxfamColombia
Oxfam en español,1465730628465397760,2696290159,Oxfam_Guatemala
Oxfam en español,1465730628465397760,110517361,trigorosa
Movimiento SOMOS ✊🏽✊🏻✊🏿🌈,1465724296999940106,1465094639262875650,SophiaGuillen19
Católicas por el Derecho a Decidir - Perú,1465719325298413568,1432084152,RaulAlcmun
